name,code,pop
United States,USA,555
Burkina Faso,BFA,13933363
Uruguay,URY,3325727
Uzbekistan,UZB,26593123
Saint Vincent and the Grenadines,VCT,119137
Venezuela,VEN,26725573
British Virgin Islands,VGB,22016
Viet Nam,VNM,85028643
United States Virgin Islands,VIR,111408
Namibia,NAM,2019677
Wallis and Futuna Islands,WLF,15079
Samoa,WSM,183845
Swaziland,SWZ,1124529
Yemen,YEM,21095679
Zambia,ZMB,11478317
Zimbabwe,ZWE,13119679
Indonesia,IDN,226063044
Guadeloupe,GLP,438403
Netherlands Antilles,ANT,186392
United Arab Emirates,ARE,4104291
Timor-Leste,TLS,1067285
Pitcairn Islands,PCN,5
Palau,PLW,20127
Marshall Islands,MHL,5672
Saint Pierre and Miquelon,SPM,6346
Saint Helena,SHN,6399
San Marino,SMR,30214
Turks and Caicos Islands,TCA,24459
Western Sahara,ESH,440428
Serbia,SRB,9863026
Holy See (Vatican City),VAT,783
Svalbard,SJM,0
Saint Martin,MAF,0
Saint Barthelemy,BLM,0
Guernsey,GGY,0
Jersey,JEY,0
South Georgia South Sandwich Islands,SGS,0
Taiwan,TWN,23588932
